plate_id,sample_id,replicate,quant_row,quant_column,sample_volume
Tepolt_mesopelagic-fish_plate1,H4,2,H,8,1
Tepolt_mesopelagic-fish_plate1,H5,2,H,10,1
Tepolt_mesopelagic-fish_plate1,H6,2,H,12,1
Tepolt_mesopelagic-fish_plate1,H7,2,H,14,1
Tepolt_mesopelagic-fish_plate1,H8,2,H,16,1
Tepolt_mesopelagic-fish_plate1,H9,2,H,18,1
Tepolt_mesopelagic-fish_plate1,H10,2,H,20,1
Tepolt_mesopelagic-fish_plate1,H11,2,H,22,1
Tepolt_mesopelagic-fish_plate1,H12,2,H,24,1
standard,0,1,I,1,5
standard,0.5,1,I,2,5
standard,1,1,I,3,5
standard,2,1,I,4,5
standard,4,1,I,5,5
standard,6,1,I,6,5
standard,8,1,I,7,5
standard,10,1,I,8,5
